N,ck,ck_medios
250,4581132,1.017464
250,4584204,1.018146
250,4648344,1.032392
250,4658832,1.034721
250,4786344,1.063041
250,4809460,1.068175
250,4846194,1.076334
250,4874138,1.082540
250,4883372,1.084591
250,5375914,1.193984
500,18762728,1.042084
500,18768716,1.042417
500,18930802,1.051419
500,19467608,1.081233
500,20035428,1.112770
500,20037014,1.112858
500,20566870,1.142287
500,20712956,1.150400
500,21013848,1.167112
500,21021782,1.167552
750,42067296,1.038506
750,42564912,1.050791
750,42872584,1.058386
750,42875544,1.058459
750,43904460,1.083860
750,43976056,1.085628
750,44188738,1.090878
750,44401142,1.096122
750,47503050,1.172698
750,50470706,1.245960
1000,77906360,1.081883
1000,78464624,1.089635
1000,78657227,1.092310
1000,79405592,1.102702
1000,79640774,1.105968
1000,84276482,1.170344
1000,85447202,1.186602
1000,87985576,1.221852
1000,93757561,1.302008
1000,95671753,1.328590
1500,171328294,1.057484
1500,171368114,1.057730
1500,172358212,1.063841
1500,173509460,1.070947
1500,176713652,1.090724
1500,178765940,1.103391
1500,179644176,1.108812
1500,181481370,1.120152
1500,198484918,1.225102
1500,223898496,1.381962
2000,305527614,1.060786
2000,306029106,1.062527
2000,306481524,1.064098
2000,314140168,1.090689
2000,315082626,1.093961
2000,316456060,1.098729
2000,323419716,1.122907
2000,331771478,1.151904
2000,333885212,1.159243
2000,358045051,1.243126
2550,490685254,1.048013
2550,493097846,1.053165
2550,498227080,1.064121
2550,508408052,1.085865
2550,511138872,1.091698
2550,516424808,1.102987
2550,537177518,1.147311
2550,537196414,1.147352
2550,537261848,1.147492
2550,594276795,1.269265
3000,681361452,1.051435
3000,685378492,1.057634
3000,687230102,1.060491
3000,688537648,1.062509
3000,698412275,1.077747
3000,699378098,1.079237
3000,712193515,1.099013
3000,716060186,1.104980
3000,731701256,1.129116
3000,854845084,1.319144
